rank_position,movement,points,competitions_played,competitor_id
428,3,139,19,sr:competitor:433906
429,3,139,22,sr:competitor:138712
430,3,138,6,sr:competitor:365412
431,3,138,16,sr:competitor:812862
432,35,138,27,sr:competitor:228766
433,4,138,31,sr:competitor:337607
434,1,137,8,sr:competitor:342826
435,1,137,15,sr:competitor:797330
436,3,136,17,sr:competitor:114885
437,3,136,17,sr:competitor:260947
438,3,135,8,sr:competitor:891669
439,3,135,10,sr:competitor:418213
440,3,135,14,sr:competitor:88992
441,4,135,18,sr:competitor:552469
442,30,135,23,sr:competitor:256393
443,3,134,10,sr:competitor:224024
444,3,134,12,sr:competitor:580167
445,-21,133,13,sr:competitor:369630
446,-23,133,23,sr:competitor:679699
447,330,132,5,sr:competitor:101157
448,0,132,9,sr:competitor:52276
449,0,132,23,sr:competitor:501410
450,0,131,14,sr:competitor:637610
451,1,130,6,sr:competitor:382056
452,1,130,14,sr:competitor:353298
453,1,130,26,sr:competitor:215696
454,2,129,24,sr:competitor:812360
455,359,128,4,sr:competitor:402317
456,43,128,24,sr:competitor:518802
457,0,127,9,sr:competitor:283965
458,0,127,15,sr:competitor:163492
459,0,126,4,sr:competitor:102151
460,0,126,5,sr:competitor:908817
461,-40,126,8,sr:competitor:834054
462,82,126,12,sr:competitor:46259
463,-19,126,15,sr:competitor:317355
464,84,126,21,sr:competitor:212046
465,-4,125,20,sr:competitor:668817
466,85,125,26,sr:competitor:350440
467,-4,124,7,sr:competitor:341218
468,1,124,20,sr:competitor:180948
469,6,124,20,sr:competitor:978579
470,-6,124,26,sr:competitor:1196859
471,-92,123,11,sr:competitor:50037
472,-6,123,16,sr:competitor:294248
473,-5,122,9,sr:competitor:14508
474,55,122,21,sr:competitor:283451
475,-5,122,24,sr:competitor:652290
476,-5,121,7,sr:competitor:64920
477,-4,121,28,sr:competitor:580165
478,-4,120,16,sr:competitor:215492
479,-3,120,20,sr:competitor:844726
480,-3,119,17,sr:competitor:783794
481,-3,119,24,sr:competitor:193008
482,-1,118,16,sr:competitor:208165
483,-1,117,8,sr:competitor:16043
484,-1,117,10,sr:competitor:157394
485,-1,117,16,sr:competitor:393574
486,30,116,23,sr:competitor:255409
487,-2,116,25,sr:competitor:255601
488,-2,115,3,sr:competitor:258735
489,-2,115,4,sr:competitor:111837
490,-25,115,4,sr:competitor:496346
491,-102,115,9,sr:competitor:227358
492,-4,115,10,sr:competitor:17080
493,-13,115,12,sr:competitor:978589
494,-5,115,22,sr:competitor:445313
495,-5,114,6,sr:competitor:63090
496,-5,114,12,sr:competitor:16564
497,-5,114,13,sr:competitor:245779
498,-5,114,17,sr:competitor:935773
499,-5,114,20,sr:competitor:529399
500,-4,114,26,sr:competitor:59984
